Obstacle,Brains,Brawn,Heart,Description, Failure 
laser_sensors,2,3,3,You freeze in your tracks as you notice laser emitters all over the room. The laser beams are undetectable with the naked eye.,Stepping skillfully thorough the field of lasers you make one wrong move and stumble. A laser beams directly into your eye searing your retina. You fumble around in pain until the security guards find you in the morning crying in the corner.
sleeping_security_guard,1,1,1,You see a sleeping security guard.,The sleeping security guard wakes up and beats the shit out of you.
patrolling_guard,1,3,2,You see a patrolling guard.,The patrolling guard pulls out a taser and fires. The electrodes plunge into your skin sending 50000 volts of justice through your body.
aggro_guard,1,5,4,You see a really fucking pissed off steroided out security guard.,The roid raging security guard rips off your arms and beats you senseless with them.
key_locked_door,3,2,1,Shit! it's a locked door.,You can't figure out a way through the locked door. You are misguided by principles instilled in you long ago at boarding school for troubled boys. You continue trying to unlock the door until the police arrive and arrest you. 
smart_locked_door,5,1,2,Shit! It's a locked door with beeps and boops.,You keep trying to make it through the smart-locked door until you have a heart-attack and die.
mainframe,5,1,5,You found the mainframe,The mainframe gains sentience and destroys you.
motion_alarm,4,1,2,You notice a motion alarm attached to the ceiling.,You trip the motion alarm and the police arrest you.
noise_sensor,3,2,2,You realize there are noise sensors all around.,Your stealth skills are embarassing and you trip the noise sensor's alarm. The police arrest you.
methane_detector,3,2,5,The conservators left methane detectors to preserve the surface of the paintings. NO FARTING, You farted. It tripped the methane detector and the police come and arrest you.